Samples - Plot 0	"Amplitude, V - Plot 0"
685	-0.00150299
686	-0.00182824
687	0.00142427
688	-0.00215349
689	-0.00150299
690	-0.00117774
691	-0.00117774
692	-0.00182824
693	-0.00312925
694	-0.00443025
695	-0.00247874
696	-0.00247874
697	-0.00150299
698	-0.00117774
699	-0.000201983
700	-0.000852486
701	-0.00182824
702	0.000773772
703	0.00272528
704	0.00044852
705	0.00142427
706	-0.000527234
707	-0.000852486
708	-0.00182824
709	-0.00117774
710	-0.00182824
711	-0.00182824
712	-0.0034545
713	-0.00443025
714	-0.00443025
715	-0.00150299
716	-0.0034545
717	-0.0034545
718	-0.00280399
719	-0.00280399
720	-0.00117774
721	-0.00150299
722	-0.004105
723	-0.00540601
724	-0.00215349
725	-0.00508075
726	-0.00280399
727	-0.00215349
728	-0.00215349
729	-0.00443025
730	-0.00377975
731	-0.0034545
732	-0.00182824
733	-0.00247874
734	-0.00312925
735	-0.00280399
736	-0.00247874
737	-0.00280399
738	-0.00150299
739	-0.00215349
740	-0.00215349
741	-0.00215349
742	-0.00377975
743	-0.00312925
744	-0.00182824
745	-0.00280399
746	-0.00182824
747	-0.00280399
748	-0.0034545
749	-0.000852486
750	-0.00150299
751	-0.00280399
752	0.00044852
753	-0.000852486
754	-0.00150299
755	-0.000852486
756	-0.000852486
757	-0.00215349
758	-0.00280399
759	-0.00150299
760	-0.00215349
761	-0.00182824
762	-0.00182824
763	-0.00117774
764	-0.00247874
765	-0.00377975
766	-0.00377975
767	-0.0034545
768	-0.00280399
769	-0.00280399
770	-0.00247874
771	-0.00215349
772	-0.00117774
773	-0.00150299
774	-0.00280399
775	-0.004105
776	-0.00117774
777	-0.00150299
778	-0.000201983
779	-0.00280399
780	-0.00377975
781	-0.00182824
782	-0.00182824
783	-0.00605651
784	-0.00540601
785	-0.00540601
786	-0.004105
787	-0.00312925
788	-0.0047555
789	-0.00605651
790	-0.00540601
791	-0.00573126
792	-0.00443025
793	-0.00540601
794	-0.00508075
795	-0.00443025
796	-0.00540601
797	-0.00703226
798	-0.00508075
799	-0.00540601
800	-0.00540601
801	-0.00670701
802	-0.00605651
803	-0.00508075
804	-0.00573126
805	-0.00540601
806	-0.00508075
807	-0.0034545
808	-0.00605651
809	-0.00443025
810	-0.00443025
811	-0.00605651
812	-0.00508075
813	-0.00638176
814	-0.00443025
815	-0.00443025
816	-0.00735751
817	-0.00670701
818	-0.00540601
819	-0.00443025
820	-0.00670701
821	-0.00443025
822	-0.00638176
823	-0.00605651
824	-0.00573126
825	-0.00540601
826	-0.00312925
827	-0.00443025
828	-0.00605651
829	-0.00443025
830	-0.00312925
831	-0.00150299
832	-0.00280399
833	-0.00377975
834	-0.00280399
835	-0.00508075
836	-0.00312925
837	-0.00182824
838	-0.00540601
839	-0.00573126
840	-0.00443025
841	-0.0034545
842	-0.00150299
843	-0.004105
844	-0.004105
845	-0.00312925
846	-0.00377975
847	-0.00117774
848	-0.00150299
849	-0.0047555
850	-0.0047555
851	-0.00540601
852	-0.004105
853	-0.00312925
854	-0.00638176
855	-0.00508075
856	-0.00508075
857	-0.00377975
858	-0.00312925
859	-0.00508075
860	-0.00443025
861	-0.00443025
862	-0.00443025
863	-0.00182824
864	-0.0047555
865	-0.0047555
866	-0.00312925
867	-0.00540601
868	-0.00182824
869	-0.00443025
870	-0.00182824
871	-0.00508075
872	-0.00573126
873	-0.00638176
874	-0.00703226
875	-0.00540601
876	-0.00540601
877	-0.00247874
878	-0.00443025
879	-0.00150299
880	-0.00247874
881	-0.0034545
882	-0.00215349
883	-0.00508075
884	-0.00377975
885	-0.00182824
886	-0.00540601
887	-0.00443025
888	-0.00508075
889	-0.00605651
890	-0.00605651
891	-0.00540601
892	-0.00280399
893	-0.00605651
894	-0.00443025
895	-0.004105
896	-0.00638176
897	-0.00735751
898	-0.00605651
899	-0.00377975
900	-0.0034545
901	-0.00377975
902	-0.00377975
903	-0.00443025
904	-0.00377975
905	-0.004105
906	-0.00312925
907	-0.00377975
908	-0.00150299
909	-0.00605651
910	-0.00377975
911	-0.00280399
912	-0.00540601
913	-0.0047555
914	-0.0034545
915	-0.00182824
916	-0.00215349
917	-0.00215349
918	-0.00182824
919	-0.0034545
920	-0.00247874
921	0.000123269
922	-0.00150299
923	-0.00540601
924	-0.00280399
925	-0.00540601
926	-0.00312925
927	-0.00605651
928	-0.00215349
929	-0.00540601
930	-0.00638176
931	0.000123269
932	-0.00443025
933	-0.0034545
934	-0.000527234
935	-0.00312925
936	-0.000852486
937	-0.0034545
938	-0.00247874
939	-0.00312925
940	-0.0047555
941	0.00044852
942	-0.00443025
943	-0.00182824
944	-0.0034545
945	-0.00443025
946	-0.004105
947	-0.000527234
948	-0.00312925
949	-0.00443025
950	0.00109902
951	-0.00280399
952	-0.00247874
953	0.00240003
954	-0.00117774
955	-0.000527234
956	-0.000527234
957	0.000773772
958	-0.00182824
959	-0.00117774
960	-0.00247874
961	-0.00182824
962	-0.004105
963	-0.00247874
964	-0.00443025
965	0.00207478
966	-0.0047555
967	0.00272528
968	-0.004105
969	-0.000527234
970	0.00240003
971	-0.00377975
972	0.00109902
973	-0.00443025
974	0.00142427
975	-0.00247874
976	0.00240003
977	-0.00182824
978	-0.00247874
979	-0.00117774
980	-0.00150299
981	0.00142427
982	-0.00117774
983	-0.00117774
